"unitid","institution name","year","HD2023.Postsecondary and Title IV institution indicator","HD2023.FIPS state code","HD2023.Sector of institution","HD2023.Institutional category","DRVEF122023.Total 12-month unduplicated headcount","DRVC2023.Bachelor's degree","DRVC2023.Master's degree","DRVC2023.Number of students receiving a Bachelor's degree","DRVC2023.Number of students receiving a Master's degree"
"100937","Birmingham-Southern College","2023","Title IV postsecondary institution","Alabama","Private not-for-profit, 4-year or above","Degree-granting, primarily baccalaureate or above","1000","278","0","273","0"
"101435","Huntingdon College","2023","Title IV postsecondary institution","Alabama","Private not-for-profit, 4-year or above","Degree-granting, primarily baccalaureate or above","847","173","5","173","5"
"101453","Heritage Christian University","2023","Title IV postsecondary institution","Alabama","Private not-for-profit, 4-year or above","Degree-granting, primarily baccalaureate or above","190","10","14","10","14"
"101912","Oakwood University","2023","Title IV postsecondary institution","Alabama","Private not-for-profit, 4-year or above","Degree-granting, primarily baccalaureate or above","1650","189","4","186","4"
"102234","Spring Hill College","2023","Title IV postsecondary institution","Alabama","Private not-for-profit, 4-year or above","Degree-granting, primarily baccalaureate or above","1215","209","48","209","48"
"102298","Talladega College","2023","Title IV postsecondary institution","Alabama","Private not-for-profit, 4-year or above","Degree-granting, primarily baccalaureate or above","1337","144","41","144","41"
"104586","Embry-Riddle Aeronautical University-Prescott","2023","Title IV postsecondary institution","Arizona","Private not-for-profit, 4-year or above","Degree-granting, primarily baccalaureate or above","3341","613","14","609","14"
"105899","Arizona Christian University","2023","Title IV postsecondary institution","Arizona","Private not-for-profit, 4-year or above","Degree-granting, primarily baccalaureate or above","1172","188","0","187","0"
"106342","Lyon College","2023","Title IV postsecondary institution","Arkansas","Private not-for-profit, 4-year or above","Degree-granting, primarily baccalaureate or above","511","118","0","118","0"
"107080","Hendrix College","2023","Title IV postsecondary institution","Arkansas","Private not-for-profit, 4-year or above","Degree-granting, primarily baccalaureate or above","1162","211","11","211","11"
"107141","John Brown University","2023","Title IV postsecondary institution","Arkansas","Private not-for-profit, 4-year or above","Degree-granting, primarily baccalaureate or above","2726","334","158","325","158"
"107512","Ouachita Baptist University","2023","Title IV postsecondary institution","Arkansas","Private not-for-profit, 4-year or above","Degree-granting, primarily baccalaureate or above","1898","344","46","344","46"
"107600","Philander Smith University","2023","Title IV postsecondary institution","Arkansas","Private not-for-profit, 4-year or above","Degree-granting, primarily baccalaureate or above","1167","138","0","138","0"
"107877","Williams Baptist University","2023","Title IV postsecondary institution","Arkansas","Private not-for-profit, 4-year or above","Degree-granting, primarily baccalaureate or above","621","122","12","119","12"
"109651","Art Center College of Design","2023","Title IV postsecondary institution","California","Private not-for-profit, 4-year or above","Degree-granting, primarily baccalaureate or above","2965","521","87","521","87"
"110370","California College of the Arts","2023","Title IV postsecondary institution","California","Private not-for-profit, 4-year or above","Degree-granting, primarily baccalaureate or above","1649","279","185","279","185"
"112084","San Diego Christian College","2023","Title IV postsecondary institution","California","Private not-for-profit, 4-year or above","Degree-granting, primarily baccalaureate or above","493","67","32","67","32"
"112260","Claremont McKenna College","2023","Title IV postsecondary institution","California","Private not-for-profit, 4-year or above","Degree-granting, primarily baccalaureate or above","1413","326","13","326","13"
"114813","Fresno Pacific University","2023","Title IV postsecondary institution","California","Private not-for-profit, 4-year or above","Degree-granting, primarily baccalaureate or above","3956","735","323","734","323"
"117104","Life Pacific University","2023","Title IV postsecondary institution","California","Private not-for-profit, 4-year or above","Degree-granting, primarily baccalaureate or above","556","82","55","82","55"
"117168","Laguna College of Art and Design","2023","Title IV postsecondary institution","California","Private not-for-profit, 4-year or above","Degree-granting, primarily baccalaureate or above","824","132","18","132","18"
"118693","Menlo College","2023","Title IV postsecondary institution","California","Private not-for-profit, 4-year or above","Degree-granting, primarily baccalaureate or above","875","182","0","182","0"
"118888","Northeastern University Oakland","2023","Title IV postsecondary institution","California","Private not-for-profit, 4-year or above","Degree-granting, primarily baccalaureate or above",,"0","0","0","0"
"120254","Occidental College","2023","Title IV postsecondary institution","California","Private not-for-profit, 4-year or above","Degree-granting, primarily baccalaureate or above","2029","501","0","501","0"
"120403","Otis College of Art and Design","2023","Title IV postsecondary institution","California","Private not-for-profit, 4-year or above","Degree-granting, primarily baccalaureate or above","1380","235","12","235","12"
"120768","Pacific Oaks College","2023","Title IV postsecondary institution","California","Private not-for-profit, 4-year or above","Degree-granting, primarily baccalaureate or above","1497","99","200","99","200"
"120838","Pacific States University","2023","Title IV postsecondary institution","California","Private not-for-profit, 4-year or above","Degree-granting, primarily baccalaureate or above","29","0","6","0","6"
"120865","Pacific Union College","2023","Title IV postsecondary institution","California","Private not-for-profit, 4-year or above","Degree-granting, primarily baccalaureate or above","1226","129","1","129","1"
"122506","San Francisco Conservatory of Music","2023","Title IV postsecondary institution","California","Private not-for-profit, 4-year or above","Degree-granting, primarily baccalaureate or above","459","51","104","51","104"
"122728","William Jessup University","2023","Title IV postsecondary institution","California","Private not-for-profit, 4-year or above","Degree-granting, primarily baccalaureate or above","2150","240","184","240","184"
"123280","Shasta Bible College and Graduate School","2023","Title IV postsecondary institution","California","Private not-for-profit, 4-year or above","Degree-granting, primarily baccalaureate or above","48","7","5","7","5"
"123457","Simpson University","2023","Title IV postsecondary institution","California","Private not-for-profit, 4-year or above","Degree-granting, primarily baccalaureate or above","1095","192","49","192","49"
"123651","Vanguard University of Southern California","2023","Title IV postsecondary institution","California","Private not-for-profit, 4-year or above","Degree-granting, primarily baccalaureate or above","2612","407","153","401","153"
"123952","Southern California Institute of Architecture","2023","Title IV postsecondary institution","California","Private not-for-profit, 4-year or above","Degree-granting, primarily baccalaureate or above","626","49","111","49","111"
"125763","Whittier College","2023","Title IV postsecondary institution","California","Private not-for-profit, 4-year or above","Degree-granting, primarily baccalaureate or above","1252","338","18","338","18"
"125897","Woodbury University","2023","Title IV postsecondary institution","California","Private not-for-profit, 4-year or above","Degree-granting, primarily baccalaureate or above","1041","192","47","192","47"
"126678","Colorado College","2023","Title IV postsecondary institution","Colorado","Private not-for-profit, 4-year or above","Degree-granting, primarily baccalaureate or above","2431","545","19","545","19"
"127653","Naropa University","2023","Title IV postsecondary institution","Colorado","Private not-for-profit, 4-year or above","Degree-granting, primarily baccalaureate or above","1212","70","185","70","185"
"128498","Albertus Magnus College","2023","Title IV postsecondary institution","Connecticut","Private not-for-profit, 4-year or above","Degree-granting, primarily baccalaureate or above","1609","293","118","266","118"
"129534","Holy Apostles College and Seminary","2023","Title IV postsecondary institution","Connecticut","Private not-for-profit, 4-year or above","Degree-granting, primarily baccalaureate or above","991","48","101","48","101"
"130590","Trinity College","2023","Title IV postsecondary institution","Connecticut","Private not-for-profit, 4-year or above","Degree-granting, primarily baccalaureate or above","2294","505","15","505","15"
"131876","Trinity Washington University","2023","Title IV postsecondary institution","District of Columbia","Private not-for-profit, 4-year or above","Degree-granting, primarily baccalaureate or above","2188","234","114","234","114"
"132408","Baptist University of Florida","2023","Title IV postsecondary institution","Florida","Private not-for-profit, 4-year or above","Degree-granting, primarily baccalaureate or above","537","42","3","42","3"
"132602","Bethune-Cookman University","2023","Title IV postsecondary institution","Florida","Private not-for-profit, 4-year or above","Degree-granting, primarily baccalaureate or above","3099","337","35","337","35"
"133526","Edward Waters University","2023","Title IV postsecondary institution","Florida","Private not-for-profit, 4-year or above","Degree-granting, primarily baccalaureate or above","1223","110","23","110","23"
"133711","Flagler College","2023","Title IV postsecondary institution","Florida","Private not-for-profit, 4-year or above","Degree-granting, primarily baccalaureate or above","2742","552","7","543","7"
"133979","Florida Memorial University","2023","Title IV postsecondary institution","Florida","Private not-for-profit, 4-year or above","Degree-granting, primarily baccalaureate or above","1375","134","12","134","12"
"134510","Hobe Sound Bible College","2023","Title IV postsecondary institution","Florida","Private not-for-profit, 4-year or above","Degree-granting, primarily baccalaureate or above","203","22","1","22","1"
"135610","Trinity International University-Florida","2023","Title IV postsecondary institution","Florida","Private not-for-profit, 4-year or above","Degree-granting, primarily baccalaureate or above","157","15","9","15","9"
"137272","St. John Vianney College Seminary","2023","Title IV postsecondary institution","Florida","Private not-for-profit, 4-year or above","Degree-granting, primarily baccalaureate or above","55","10","7","10","7"
"137777","Talmudic College of Florida","2023","Title IV postsecondary institution","Florida","Private not-for-profit, 4-year or above","Degree-granting, primarily baccalaureate or above","39","7","0","7","0"
"137953","Trinity Baptist College","2023","Title IV postsecondary institution","Florida","Private not-for-profit, 4-year or above","Degree-granting, primarily baccalaureate or above","469","70","4","69","4"
"138275","Warner University","2023","Title IV postsecondary institution","Florida","Private not-for-profit, 4-year or above","Degree-granting, primarily baccalaureate or above","958","133","31","131","31"
"138293","Webber International University","2023","Title IV postsecondary institution","Florida","Private not-for-profit, 4-year or above","Degree-granting, primarily baccalaureate or above","1271","138","17","138","17"
"138600","Agnes Scott College","2023","Title IV postsecondary institution","Georgia","Private not-for-profit, 4-year or above","Degree-granting, primarily baccalaureate or above","1253","199","18","199","18"
"138868","Point University","2023","Title IV postsecondary institution","Georgia","Private not-for-profit, 4-year or above","Degree-granting, primarily baccalaureate or above","4189","154","14","154","14"
"139144","Berry College","2023","Title IV postsecondary institution","Georgia","Private not-for-profit, 4-year or above","Degree-granting, primarily baccalaureate or above","2466","463","92","457","92"
"139205","Brewton-Parker College","2023","Title IV postsecondary institution","Georgia","Private not-for-profit, 4-year or above","Degree-granting, primarily baccalaureate or above","1067","69","0","69","0"
"139393","Covenant College","2023","Title IV postsecondary institution","Georgia","Private not-for-profit, 4-year or above","Degree-granting, primarily baccalaureate or above","935","155","26","155","26"
"139630","Emmanuel University","2023","Title IV postsecondary institution","Georgia","Private not-for-profit, 4-year or above","Degree-granting, primarily baccalaureate or above","916","133","0","133","0"
"140234","LaGrange College","2023","Title IV postsecondary institution","Georgia","Private not-for-profit, 4-year or above","Degree-granting, primarily baccalaureate or above","812","130","52","120","52"
"140696","Oglethorpe University","2023","Title IV postsecondary institution","Georgia","Private not-for-profit, 4-year or above","Degree-granting, primarily baccalaureate or above","1540","234","0","234","0"
"140872","Reinhardt University","2023","Title IV postsecondary institution","Georgia","Private not-for-profit, 4-year or above","Degree-granting, primarily baccalaureate or above","1251","253","74","252","74"
"140951","Savannah College of Art and Design","2023","Title IV postsecondary institution","Georgia","Private not-for-profit, 4-year or above","Degree-granting, primarily baccalaureate or above","18369","2729","927","2729","921"
"140988","Shorter University","2023","Title IV postsecondary institution","Georgia","Private not-for-profit, 4-year or above","Degree-granting, primarily baccalaureate or above","1899","237","108","233","107"
"141167","Thomas University","2023","Title IV postsecondary institution","Georgia","Private not-for-profit, 4-year or above","Degree-granting, primarily baccalaureate or above","1929","187","256","187","256"
"141185","Toccoa Falls College","2023","Title IV postsecondary institution","Georgia","Private not-for-profit, 4-year or above","Degree-granting, primarily baccalaureate or above","2666","151","14","151","14"
"141237","Truett McConnell University","2023","Title IV postsecondary institution","Georgia","Private not-for-profit, 4-year or above","Degree-granting, primarily baccalaureate or above","3151","167","38","167","38"
"141325","Wesleyan College","2023","Title IV postsecondary institution","Georgia","Private not-for-profit, 4-year or above","Degree-granting, primarily baccalaureate or above","1095","97","27","97","27"
"141361","Young Harris College","2023","Title IV postsecondary institution","Georgia","Private not-for-profit, 4-year or above","Degree-granting, primarily baccalaureate or above","1744","159","13","159","13"
"142294","The College of Idaho","2023","Title IV postsecondary institution","Idaho","Private not-for-profit, 4-year or above","Degree-granting, primarily baccalaureate or above","1120","264","8","264","8"
"143048","School of the Art Institute of Chicago","2023","Title IV postsecondary institution","Illinois","Private not-for-profit, 4-year or above","Degree-granting, primarily baccalaureate or above","3736","600","290","600","290"
"143084","Augustana College","2023","Title IV postsecondary institution","Illinois","Private not-for-profit, 4-year or above","Degree-granting, primarily baccalaureate or above","2476","528","17","528","17"
"144281","Columbia College Chicago","2023","Title IV postsecondary institution","Illinois","Private not-for-profit, 4-year or above","Degree-granting, primarily baccalaureate or above","7010","1297","98","1284","98"
"145372","Greenville University","2023","Title IV postsecondary institution","Illinois","Private not-for-profit, 4-year or above","Degree-granting, primarily baccalaureate or above","1402","225","65","225","65"
"145691","Illinois College","2023","Title IV postsecondary institution","Illinois","Private not-for-profit, 4-year or above","Degree-granting, primarily baccalaureate or above","1130","283","0","283","0"
"146481","Lake Forest College","2023","Title IV postsecondary institution","Illinois","Private not-for-profit, 4-year or above","Degree-granting, primarily baccalaureate or above","1898","360","19","360","19"
"147129","Methodist College","2023","Title IV postsecondary institution","Illinois","Private not-for-profit, 4-year or above","Degree-granting, primarily baccalaureate or above","636","111","14","111","14"
"148131","Quincy University","2023","Title IV postsecondary institution","Illinois","Private not-for-profit, 4-year or above","Degree-granting, primarily baccalaureate or above","1520","198","48","196","48"
"148405","Rockford University","2023","Title IV postsecondary institution","Illinois","Private not-for-profit, 4-year or above","Degree-granting, primarily baccalaureate or above","1440","204","102","204","102"
"148627","Saint Xavier University","2023","Title IV postsecondary institution","Illinois","Private not-for-profit, 4-year or above","Degree-granting, primarily baccalaureate or above","4095","692","254","692","254"
"149329","Telshe Yeshiva-Chicago","2023","Title IV postsecondary institution","Illinois","Private not-for-profit, 4-year or above","Degree-granting, primarily baccalaureate or above","102","10","2","10","2"
"149505","Trinity Christian College","2023","Title IV postsecondary institution","Illinois","Private not-for-profit, 4-year or above","Degree-granting, primarily baccalaureate or above","1022","199","24","195","24"
"149639","VanderCook College of Music","2023","Title IV postsecondary institution","Illinois","Private not-for-profit, 4-year or above","Degree-granting, primarily baccalaureate or above","1027","7","40","7","40"
"150145","Bethel University","2023","Title IV postsecondary institution","Indiana","Private not-for-profit, 4-year or above","Degree-granting, primarily baccalaureate or above","1486","247","65","246","65"
"150172","Calumet College of Saint Joseph","2023","Title IV postsecondary institution","Indiana","Private not-for-profit, 4-year or above","Degree-granting, primarily baccalaureate or above","771","125","64","125","64"
"150455","Earlham College","2023","Title IV postsecondary institution","Indiana","Private not-for-profit, 4-year or above","Degree-granting, primarily baccalaureate or above","718","140","23","140","23"
"150604","Franklin College","2023","Title IV postsecondary institution","Indiana","Private not-for-profit, 4-year or above","Degree-granting, primarily baccalaureate or above","1005","170","28","170","28"
"151810","Martin University","2023","Title IV postsecondary institution","Indiana","Private not-for-profit, 4-year or above","Degree-granting, primarily baccalaureate or above","254","13","6","13","6"
"152318","Rose-Hulman Institute of Technology","2023","Title IV postsecondary institution","Indiana","Private not-for-profit, 4-year or above","Degree-granting, primarily baccalaureate or above","2279","375","24","373","24"
"152530","Taylor University","2023","Title IV postsecondary institution","Indiana","Private not-for-profit, 4-year or above","Degree-granting, primarily baccalaureate or above","2561","422","19","421","19"
"153001","Buena Vista University","2023","Title IV postsecondary institution","Iowa","Private not-for-profit, 4-year or above","Degree-granting, primarily baccalaureate or above","2634","387","222","387","222"
"153162","Cornell College","2023","Title IV postsecondary institution","Iowa","Private not-for-profit, 4-year or above","Degree-granting, primarily baccalaureate or above","1185","185","4","182","4"
"153250","Dordt University","2023","Title IV postsecondary institution","Iowa","Private not-for-profit, 4-year or above","Degree-granting, primarily baccalaureate or above","2062","314","93","314","93"
"153375","Grand View University","2023","Title IV postsecondary institution","Iowa","Private not-for-profit, 4-year or above","Degree-granting, primarily baccalaureate or above","2111","387","84","387","84"
"153825","Loras College","2023","Title IV postsecondary institution","Iowa","Private not-for-profit, 4-year or above","Degree-granting, primarily baccalaureate or above","1410","296","36","296","36"
"153977","Mercy College of Health Sciences","2023","Title IV postsecondary institution","Iowa","Private not-for-profit, 4-year or above","Degree-granting, primarily baccalaureate or above","1314","323","0","323","0"
"154101","Northwestern College","2023","Title IV postsecondary institution","Iowa","Private not-for-profit, 4-year or above","Degree-granting, primarily baccalaureate or above","2135","244","152","244","152"
"154350","Simpson College","2023","Title IV postsecondary institution","Iowa","Private not-for-profit, 4-year or above","Degree-granting, primarily baccalaureate or above","1288","265","16","265","16"
"154493","Upper Iowa University","2023","Title IV postsecondary institution","Iowa","Private not-for-profit, 4-year or above","Degree-granting, primarily baccalaureate or above","5739","633","221","632","221"
"154527","Wartburg College","2023","Title IV postsecondary institution","Iowa","Private not-for-profit, 4-year or above","Degree-granting, primarily baccalaureate or above","1478","325","15","319","15"
"154590","William Penn University","2023","Title IV postsecondary institution","Iowa","Private not-for-profit, 4-year or above","Degree-granting, primarily baccalaureate or above","1667","265","27","265","27"
"154712","Benedictine College","2023","Title IV postsecondary institution","Kansas","Private not-for-profit, 4-year or above","Degree-granting, primarily baccalaureate or above","2479","422","55","414","55"
"154855","Central Christian College of Kansas","2023","Title IV postsecondary institution","Kansas","Private not-for-profit, 4-year or above","Degree-granting, primarily baccalaureate or above","738","100","22","97","22"
"155070","Barclay College","2023","Title IV postsecondary institution","Kansas","Private not-for-profit, 4-year or above","Degree-granting, primarily baccalaureate or above","216","30","4","30","4"
"155308","Kansas Christian College","2023","Title IV postsecondary institution","Kansas","Private not-for-profit, 4-year or above","Degree-granting, primarily baccalaureate or above","229","13","0","13","0"
"155414","Kansas Wesleyan University","2023","Title IV postsecondary institution","Kansas","Private not-for-profit, 4-year or above","Degree-granting, primarily baccalaureate or above","939","125","38","125","38"
